Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	3175.879140380	3187.816478153	28.7	67.6
2	Spectrogram 1	1	5936.899478434	5953.720272569	29.6	66.5
3	Spectrogram 1	1	6767.281812590	6778.133937838	36.9	64.2
4	Spectrogram 1	1	6887.740402847	6896.964709308	36.3	64.2
5	Spectrogram 1	1	7103.708612528	7111.305100202	47.9	66.2
6	Spectrogram 1	1	7162.310088870	7173.162214118	44.2	64.2
7	Spectrogram 1	1	7377.182168788	7387.491687774	45.4	66.5
8	Spectrogram 1	1	7411.698907108	7421.465819832	30.4	63.7
9	Spectrogram 1	1	7473.556021024	7484.950752535	29.9	69.3
10	Spectrogram 1	1	7538.126166252	7543.009622614	42.3	64.5
11	Spectrogram 1	1	7569.054723210	7576.651210884	43.1	63.4
12	Spectrogram 1	1	7628.198805813	7636.880506012	42.0	63.9
13	Spectrogram 1	1	7673.235125594	7680.831613268	40.0	65.6
14	Spectrogram 1	1	7712.302776488	7720.984476687	40.3	65.4
15	Spectrogram 1	1	7746.486971021	7754.626064957	45.4	63.9
16	Spectrogram 1	1	7782.841590603	7789.895472014	40.6	65.6
17	Spectrogram 1	1	7850.124767143	7854.465617242	45.6	64.5
18	Spectrogram 1	1	7889.943427593	7896.997309004	44.5	64.5
19	Spectrogram 1	1	7924.670228387	7936.064959898	43.7	67.9
20	Spectrogram 1	1	8017.455899261	8022.881961885	44.5	66.5
21	Spectrogram 1	1	8367.817901919	8376.499602117	37.5	66.5
22	Spectrogram 1	1	8420.450709373	8428.589803310	38.0	65.9
23	Spectrogram 1	1	8490.446917225	8499.128617424	41.4	62.0
24	Spectrogram 1	1	8526.801536807	8538.196268318	43.1	67.3
25	Spectrogram 1	1	8611.448113745	8620.129813944	42.0	64.5
26	Spectrogram 1	1	8644.547095752	8654.856614738	42.0	64.8
27	Spectrogram 1	1	8689.040809271	8697.179903207	38.0	65.4
28	Spectrogram 1	1	8935.419895598	8940.845958222	47.6	64.8
29	Spectrogram 1	1	8991.308340627	8997.277009514	47.6	64.5
30	Spectrogram 1	1	9026.035141422	9037.429872933	40.3	64.5
31	Spectrogram 1	1	9094.403530487	9104.170443210	31.3	64.2
32	Spectrogram 1	1	9163.314525814	9175.251863587	44.8	67.0
33	Spectrogram 1	1	9200.211751659	9207.808239333	43.4	63.1
34	Spectrogram 1	1	9269.122746986	9276.719234660	44.8	64.2
35	Spectrogram 1	1	9333.692892214	9339.661561100	43.7	62.0
36	Spectrogram 1	1	9406.402131378	9413.456012789	40.3	64.8
37	Spectrogram 1	1	9472.600095393	9482.367008117	40.0	65.4
38	Spectrogram 1	1	9494.304345890	9500.273014777	55.8	78.6
39	Spectrogram 1	1	9543.063188622	9549.574463771	43.4	64.5
40	Spectrogram 1	1	9577.789989416	9586.471689615	40.6	66.8
41	Spectrogram 1	1	9651.041834843	9660.266141304	46.8	64.8
42	Spectrogram 1	1	9686.311241900	9698.791185936	37.5	63.4
43	Spectrogram 1	1	9752.509205915	9760.648299852	43.9	63.7
44	Spectrogram 1	1	9789.949038022	9798.630738221	45.9	61.7
45	Spectrogram 1	1	9942.864789480	9949.918670891	48.7	74.4
46	Spectrogram 1	1	9992.241959360	9999.295840771	49.9	67.3
47	Spectrogram 1	1	10023.170516318	10031.852216516	36.6	70.4
48	Spectrogram 1	1	10066.579017311	10074.718111247	34.4	60.3
49	Spectrogram 1	1	10077.431142560	10083.399811446	35.8	74.9
50	Spectrogram 1	1	10083.399811446	10086.112842758	47.6	64.5
51	Spectrogram 1	1	10087.740661546	10091.538905382	42.5	65.1
52	Spectrogram 1	1	10094.794542957	10101.305818106	45.4	65.4
53	Spectrogram 1	1	10109.987518305	10117.041399716	35.2	52.1
54	Spectrogram 1	1	10214.586386457	10218.927236556	43.7	59.7
55	Spectrogram 1	1	10243.344518365	10255.824462400	51.8	73.8
56	Spectrogram 1	1	10271.560044011	10280.784350472	33.5	64.5
57	Spectrogram 1	1	10308.457269855	10313.340726217	56.1	69.3
58	Spectrogram 1	1	10458.030745613	10465.627233287	53.5	66.2
59	Spectrogram 1	1	10510.120946805	10520.430465791	49.6	77.2
60	Spectrogram 1	1	10521.515678316	10528.026953465	48.2	62.5
61	Spectrogram 1	1	10528.569559727	10540.506897501	35.8	68.2
62	Spectrogram 1	1	10624.068261913	10632.207355850	38.6	69.9
63	Spectrogram 1	1	10639.803843523	10646.857724935	42.3	58.9
64	Spectrogram 1	1	10664.763731595	10669.647187956	46.2	65.1
65	Spectrogram 1	1	10685.382769567	10694.064469765	31.3	62.5
66	Spectrogram 1	1	10753.208552369	10759.719827518	39.7	65.1
67	Spectrogram 1	1	10811.810028710	10824.832579008	34.4	66.5
68	Spectrogram 1	1	10851.420285867	10864.442836165	34.9	65.9
69	Spectrogram 1	1	10883.976661612	10890.487936761	45.4	67.3
70	Spectrogram 1	1	10895.371393123	10903.510487059	37.7	64.8
71	Spectrogram 1	1	10915.447824832	10919.788674932	61.1	66.2
72	Spectrogram 1	1	10957.771113301	10966.452813500	34.6	65.6
73	Spectrogram 1	1	11040.541590461	11051.936321972	34.9	64.5
74	Spectrogram 1	1	11082.322272667	11088.833547816	39.4	64.8
75	Spectrogram 1	1	11103.483916902	11110.537798313	40.6	60.6
76	Spectrogram 1	1	11163.170605768	11168.596668392	40.6	67.3
77	Spectrogram 1	1	11314.557752983	11323.782059444	33.8	65.1
78	Spectrogram 1	1	11343.858491153	11348.199341253	52.1	64.2
79	Spectrogram 1	1	11356.881041452	11365.562741650	30.1	65.6
80	Spectrogram 1	1	11393.778267296	11403.545180020	32.7	63.4
81	Spectrogram 1	1	11714.825523072	11723.507223270	42.3	65.1
82	Spectrogram 1	1	11748.467111342	11758.234024065	33.2	65.9
83	Spectrogram 1	1	11783.193912136	11790.247793548	37.5	64.5
84	Spectrogram 1	1	11851.562301201	11861.329213925	41.7	65.6
85	Spectrogram 1	1	11911.791596330	11921.558509053	38.9	66.2
86	Spectrogram 1	1	12039.846674261	12045.815343147	33.2	64.5
87	Spectrogram 1	1	12109.842882113	12119.067188574	34.6	65.1
88	Spectrogram 1	1	12153.251383106	12165.188720880	32.4	68.7
89	Spectrogram 1	1	12195.032065313	12202.085946724	33.2	67.3
90	Spectrogram 1	1	12261.230029328	12269.369123264	37.7	65.6
91	Spectrogram 1	1	12332.854055967	12342.620968691	34.9	63.4
92	Spectrogram 1	1	13667.685636815	13679.622974588	37.7	67.9
